Date,Price,Open,High,Low,Vol.,Change %
01/12/2023,1.468,1.5137,1.5326,1.4551,,-3.03%
01/11/2023,1.5138,1.5783,1.5829,1.4976,,-4.06%
01/10/2023,1.5778,1.5549,1.595,1.5512,,1.54%
01/09/2023,1.5538,1.5428,1.5797,1.5331,,0.77%
01/08/2023,1.542,1.4879,1.5712,1.487,,3.62%
01/07/2023,1.4881,1.5,1.5155,1.4501,,-0.77%
01/06/2023,1.4997,1.5378,1.5423,1.4492,,-2.43%
01/05/2023,1.537,1.513,1.5486,1.4664,,1.73%
01/04/2023,1.5108,1.4947,1.5215,1.4691,,1.03%
01/03/2023,1.4954,1.4861,1.5236,1.4739,,0.64%
01/02/2023,1.4859,1.417,1.4931,1.3969,,4.86%
01/01/2023,1.417,1.4676,1.4954,1.3999,,-3.43%
01/12/2022,1.4674,1.4739,1.5087,1.4504,,-0.39%
01/11/2022,1.4732,1.5626,1.5945,1.4703,,-5.72%
01/10/2022,1.5625,1.5601,1.6207,1.527,,0.10%
01/09/2022,1.561,1.4617,1.5717,1.4456,,6.79%
01/08/2022,1.4618,1.4322,1.4632,1.4009,,2.14%
01/07/2022,1.4312,1.4487,1.4968,1.4219,,-1.19%
01/06/2022,1.4484,1.3936,1.4598,1.3729,,3.94%
01/05/2022,1.3935,1.4139,1.4645,1.376,,-1.55%
01/04/2022,1.4154,1.3363,1.4175,1.3051,,5.90%
01/03/2022,1.3365,1.3771,1.3958,1.3261,,-2.92%
01/02/2022,1.3767,1.4146,1.422,1.3726,,-2.68%
01/01/2022,1.4146,1.377,1.4353,1.367,,2.73%
01/12/2021,1.377,1.4033,1.4301,1.374,,-1.85%
01/11/2021,1.4029,1.3317,1.4159,1.3267,,5.54%
01/10/2021,1.3293,1.3841,1.3905,1.3233,,-3.92%
01/09/2021,1.3835,1.3669,1.3948,1.3371,,1.23%
01/08/2021,1.3667,1.3621,1.4074,1.3463,,0.40%
01/07/2021,1.3613,1.3337,1.372,1.3157,,2.11%
01/06/2021,1.3332,1.2929,1.3377,1.2859,,3.11%
01/05/2021,1.293,1.2958,1.303,1.2671,,-0.21%
01/04/2021,1.2957,1.3163,1.3277,1.279,,-1.53%
01/03/2021,1.3158,1.2966,1.3223,1.2738,,1.41%
01/02/2021,1.2975,1.3081,1.3223,1.2486,,-0.82%
01/01/2021,1.3082,1.2996,1.3173,1.2786,,0.68%
01/12/2020,1.2994,1.3614,1.3624,1.2915,,-4.53%
01/11/2020,1.3611,1.4218,1.4304,1.3498,,-4.34%
01/10/2020,1.4229,1.3963,1.4283,1.3803,,1.93%
01/09/2020,1.3959,1.3556,1.4274,1.3487,,2.97%
01/08/2020,1.3556,1.3994,1.4133,1.3507,,-3.16%
01/07/2020,1.3998,1.4487,1.4542,1.3834,,-3.36%
01/06/2020,1.4484,1.5022,1.5048,1.4159,,-3.42%
01/05/2020,1.4997,1.5359,1.5695,1.496,,-2.34%
01/04/2020,1.5356,1.6306,1.6724,1.522,,-5.76%
01/03/2020,1.6295,1.5414,1.8159,1.4956,,6.09%
01/02/2020,1.5359,1.4947,1.5544,1.4759,,2.80%
01/01/2020,1.4941,1.4241,1.4965,1.4223,,4.92%
01/12/2019,1.4241,1.4792,1.4804,1.4219,,-3.65%
01/11/2019,1.478,1.4505,1.4808,1.4431,,1.91%
01/10/2019,1.4503,1.4815,1.4993,1.4429,,-2.09%
01/09/2019,1.4813,1.4878,1.4955,1.4502,,-0.19%
01/08/2019,1.4841,1.4609,1.4978,1.4557,,1.59%
01/07/2019,1.4609,1.4231,1.4638,1.4117,,2.57%
01/06/2019,1.4243,1.4422,1.464,1.4236,,-1.11%
01/05/2019,1.4403,1.4186,1.457,1.4159,,1.54%
01/04/2019,1.4184,1.4053,1.4312,1.3875,,0.70%
01/03/2019,1.4086,1.4096,1.4282,1.3949,,-0.04%
01/02/2019,1.4092,1.375,1.4179,1.3726,,2.55%
01/01/2019,1.3742,1.4188,1.4756,1.3705,,-3.06%
01/12/2018,1.4176,1.3572,1.4254,1.3523,,3.77%
01/11/2018,1.3661,1.4138,1.4142,1.3613,,-3.36%
01/10/2018,1.4136,1.3829,1.4246,1.3814,,2.24%
01/09/2018,1.3826,1.3894,1.4116,1.367,,-0.48%
01/08/2018,1.3893,1.3464,1.3937,1.3414,,3.24%
01/07/2018,1.3457,1.3521,1.368,1.3359,,-0.33%
01/06/2018,1.3501,1.3212,1.3654,1.3024,,2.20%
01/05/2018,1.321,1.3274,1.3492,1.3147,,-0.51%
01/04/2018,1.3278,1.3007,1.329,1.2797,,1.97%
01/03/2018,1.3021,1.2884,1.3086,1.263,,1.08%
01/02/2018,1.2882,1.2414,1.289,1.2394,,3.78%
01/01/2018,1.2413,1.2817,1.283,1.2291,,-3.14%
01/12/2017,1.2816,1.3214,1.3333,1.2778,,-3.01%
01/11/2017,1.3214,1.306,1.3278,1.2936,,1.20%
01/10/2017,1.3057,1.2755,1.3117,1.266,,2.30%
01/09/2017,1.2763,1.2584,1.2823,1.2306,,1.44%
01/08/2017,1.2582,1.2495,1.281,1.2431,,0.70%
01/07/2017,1.2494,1.3017,1.3211,1.2395,,-3.86%
01/06/2017,1.2995,1.3461,1.3568,1.2964,,-3.42%
01/05/2017,1.3455,1.3405,1.3647,1.3232,,0.82%
01/04/2017,1.3346,1.3113,1.3442,1.3083,,1.82%
01/03/2017,1.3108,1.306,1.3352,1.2901,,0.39%
01/02/2017,1.3057,1.3182,1.3247,1.2915,,-0.93%
01/01/2017,1.318,1.3832,1.396,1.3139,,-4.88%
01/12/2016,1.3856,1.3541,1.3973,1.3286,,2.38%
01/11/2016,1.3534,1.314,1.3684,1.2852,,3.01%
01/10/2016,1.3139,1.3059,1.3322,1.2926,,0.83%
01/09/2016,1.3031,1.3301,1.3439,1.2929,,-2.06%
01/08/2016,1.3305,1.317,1.3352,1.289,,1.10%
01/07/2016,1.316,1.3421,1.3501,1.3028,,-1.93%
01/06/2016,1.3419,1.382,1.3887,1.3072,,-2.89%
01/05/2016,1.3818,1.3148,1.3998,1.2953,,5.07%
01/04/2016,1.3151,1.3059,1.335,1.276,,0.77%
01/03/2016,1.3051,1.4004,1.407,1.2947,,-6.74%
01/02/2016,1.3994,1.4108,1.4341,1.3772,,-0.82%
01/01/2016,1.411,1.3736,1.465,1.3692,,2.79%
01/12/2015,1.3727,1.3836,1.4095,1.3536,,-0.74%
01/11/2015,1.3829,1.4059,1.4256,1.3726,,-1.24%
01/10/2015,1.4002,1.4242,1.4293,1.3542,,-1.68%
01/09/2015,1.4241,1.4059,1.4503,1.3731,,1.35%
01/08/2015,1.4051,1.3684,1.4175,1.344,,2.68%
01/07/2015,1.3684,1.2975,1.3823,1.292,,5.55%
01/06/2015,1.2965,1.3082,1.3182,1.2739,,-0.87%
01/05/2015,1.3079,1.265,1.3128,1.2249,,3.42%
01/04/2015,1.2647,1.3147,1.3276,1.2381,,-3.78%
01/03/2015,1.3144,1.2757,1.3228,1.2595,,2.70%
01/02/2015,1.2798,1.2929,1.3115,1.2635,,-0.54%
01/01/2015,1.2868,1.225,1.2955,1.2053,,5.16%
01/12/2014,1.2237,1.1769,1.2366,1.1703,,4.16%
01/11/2014,1.1748,1.1431,1.1794,1.137,,3.40%
01/10/2014,1.1362,1.1434,1.1572,1.122,,-0.61%
01/09/2014,1.1432,1.0719,1.1516,1.0635,,6.81%
01/08/2014,1.0703,1.0759,1.0825,1.0666,,-0.48%
01/07/2014,1.0755,1.0599,1.0778,1.0518,,1.46%
01/06/2014,1.06,1.0735,1.0833,1.0585,,-1.30%
01/05/2014,1.074,1.0768,1.0868,1.0625,,-0.20%
01/04/2014,1.0761,1.0795,1.0863,1.0567,,-0.28%
01/03/2014,1.0791,1.1222,1.1249,1.0756,,-3.63%
01/02/2014,1.1197,1.1425,1.1454,1.1012,,-1.94%
01/01/2014,1.1418,1.1217,1.1548,1.1003,,1.88%
01/12/2013,1.1207,1.0978,1.1335,1.0905,,2.13%
01/11/2013,1.0973,1.0572,1.1044,1.0477,,3.81%
01/10/2013,1.057,1.0733,1.0764,1.0249,,-1.46%
01/09/2013,1.0727,1.1185,1.1207,1.0493,,-4.50%
01/08/2013,1.1232,1.113,1.1302,1.0829,,0.92%
01/07/2013,1.113,1.0944,1.1187,1.0731,,1.79%
01/06/2013,1.0934,1.0376,1.0975,1.0209,,4.69%
01/05/2013,1.0444,0.9642,1.0496,0.963,,8.34%
01/04/2013,0.964,0.96,0.9785,0.9448,,0.46%
01/03/2013,0.9596,0.9789,0.9887,0.9524,,-1.93%
01/02/2013,0.9785,0.959,0.9821,0.956,,2.05%
01/01/2013,0.9588,0.9619,0.9639,0.9433,,-0.29%
01/12/2012,0.9616,0.9585,0.9668,0.9445,,0.37%
01/11/2012,0.9581,0.9639,0.9722,0.9531,,-0.59%
01/10/2012,0.9638,0.9645,0.9855,0.9602,,0.02%
01/09/2012,0.9636,0.9715,0.9839,0.941,,-0.46%
01/08/2012,0.9681,0.9531,0.9732,0.942,,1.62%
01/07/2012,0.9527,0.9747,0.9902,0.9487,,-2.38%
01/06/2012,0.9759,1.0281,1.0438,0.9746,,-5.04%
01/05/2012,1.0277,0.9592,1.0339,0.9585,,7.16%
01/04/2012,0.959,0.9605,0.9781,0.9545,,-0.75%
01/03/2012,0.9662,0.9318,0.9706,0.9242,,3.74%
01/02/2012,0.9314,0.9418,0.9463,0.9209,,-1.11%
01/01/2012,0.9419,0.9785,0.9858,0.9355,,-3.69%
01/12/2011,0.978,0.9727,1.0142,0.9632,,0.51%
01/11/2011,0.973,0.9483,1.035,0.9462,,2.55%
01/10/2011,0.9488,1.0341,1.0653,0.9298,,-8.26%
01/09/2011,1.0342,0.9359,1.0404,0.9287,,10.68%
01/08/2011,0.9344,0.9088,1.0073,0.9036,,2.81%
01/07/2011,0.9089,0.9332,0.9503,0.9023,,-2.49%
01/06/2011,0.9321,0.9381,0.9625,0.9279,,-0.51%
01/05/2011,0.9369,0.9109,0.9579,0.9079,,2.78%
01/04/2011,0.9116,0.9681,0.9721,0.9108,,-5.84%
01/03/2011,0.9681,0.9818,1.0302,0.9639,,-1.37%
01/02/2011,0.9815,1.0027,1.0058,0.9801,,-2.10%
01/01/2011,1.0026,0.9794,1.0201,0.9776,,2.62%
01/12/2010,0.977,1.0423,1.0485,0.975,,-6.39%
01/11/2010,1.0437,1.0151,1.0479,0.9819,,2.69%
01/10/2010,1.0164,1.0353,1.0481,0.9995,,-1.72%
01/09/2010,1.0342,1.1206,1.1221,1.0272,,-7.87%
01/08/2010,1.1225,1.1039,1.1402,1.0842,,1.51%
01/07/2010,1.1058,1.1908,1.2026,1.1025,,-7.11%
01/06/2010,1.1905,1.1801,1.2363,1.1285,,0.78%
01/05/2010,1.1813,1.0836,1.2397,1.0779,,9.23%
01/04/2010,1.0815,1.0903,1.0949,1.0658,,-0.85%
01/03/2010,1.0908,1.1159,1.1193,1.0808,,-2.34%
01/02/2010,1.1169,1.1359,1.166,1.1024,,-1.19%
01/01/2010,1.1304,1.1143,1.1321,1.0717,,1.44%
01/12/2009,1.1144,1.0919,1.145,1.0722,,2.01%
01/11/2009,1.0924,1.1144,1.1228,1.063,,-1.75%
01/10/2009,1.1119,1.1314,1.1672,1.0721,,-1.74%
01/09/2009,1.1316,1.185,1.2133,1.13,,-4.45%
01/08/2009,1.1843,1.1972,1.2264,1.1794,,-1.07%
01/07/2009,1.1971,1.2409,1.2986,1.1951,,-3.42%
01/06/2009,1.2395,1.2452,1.284,1.2099,,-0.69%
01/05/2009,1.2481,1.3787,1.3809,1.2473,,-9.44%
01/04/2009,1.3782,1.4464,1.4588,1.3541,,-4.61%
01/03/2009,1.4448,1.565,1.5911,1.4097,,-7.56%
01/02/2009,1.5629,1.5732,1.6011,1.4598,,-0.75%
01/01/2009,1.5747,1.4233,1.5764,1.3759,,11.42%
01/12/2008,1.4133,1.5317,1.5893,1.4007,,-7.55%
01/11/2008,1.5287,1.4963,1.6461,1.4255,,2.10%
01/10/2008,1.4973,1.258,1.6647,1.247,,18.95%
01/09/2008,1.2588,1.1674,1.2818,1.1648,,8.03%
01/08/2008,1.1652,1.0621,1.1776,1.0615,,9.75%
01/07/2008,1.0617,1.0434,1.0642,1.015,,1.70%
01/06/2008,1.044,1.0471,1.0723,1.034,,-0.20%
01/05/2008,1.0461,1.06,1.0783,1.0355,,-1.40%
01/04/2008,1.061,1.0946,1.1075,1.0478,,-3.10%
01/03/2008,1.0949,1.0719,1.1169,1.0554,,1.96%
01/02/2008,1.0739,1.1164,1.1268,1.0525,,-3.75%
01/01/2008,1.1157,1.1431,1.1745,1.1083,,-2.27%
01/12/2007,1.1416,1.1324,1.1693,1.1225,,0.96%
01/11/2007,1.1308,1.0725,1.1556,1.0635,,5.54%
01/10/2007,1.0714,1.1256,1.1429,1.0699,,-4.93%
01/09/2007,1.1269,1.2252,1.2256,1.1247,,-7.84%
01/08/2007,1.2228,1.1756,1.3029,1.1539,,4.06%
01/07/2007,1.1751,1.1726,1.1824,1.1268,,-0.26%
01/06/2007,1.1782,1.2077,1.2094,1.1732,,-2.49%
01/05/2007,1.2083,1.2048,1.225,1.1967,,0.35%
01/04/2007,1.2041,1.2343,1.2401,1.1909,,-2.64%
01/03/2007,1.2368,1.2694,1.3018,1.2302,,-2.55%
01/02/2007,1.2691,1.2868,1.2974,1.2579,,-1.44%
01/01/2007,1.2877,1.2686,1.2992,1.2519,,1.65%
01/12/2006,1.2668,1.2671,1.2852,1.2602,,-0.10%
01/11/2006,1.2681,1.2918,1.3135,1.2647,,-1.82%
01/10/2006,1.2916,1.3416,1.3487,1.289,,-3.60%
01/09/2006,1.3398,1.3096,1.3453,1.2945,,2.35%
01/08/2006,1.309,1.306,1.3247,1.2955,,0.30%
01/07/2006,1.3051,1.345,1.3519,1.3017,,-3.13%
01/06/2006,1.3472,1.3296,1.3756,1.3245,,1.35%
01/05/2006,1.3293,1.3177,1.3394,1.2825,,0.72%
01/04/2006,1.3198,1.3963,1.4055,1.3139,,-5.42%
01/03/2006,1.3955,1.3463,1.4255,1.333,,3.63%
01/02/2006,1.3466,1.3184,1.3619,1.317,,2.17%
01/01/2006,1.318,1.3639,1.3673,1.3172,,-3.32%
01/12/2005,1.3632,1.3552,1.3824,1.3187,,0.65%
01/11/2005,1.3544,1.3362,1.3769,1.3356,,1.37%
01/10/2005,1.3361,1.3108,1.3444,1.3074,,1.75%
01/09/2005,1.3131,1.3249,1.3281,1.2875,,-0.86%
01/08/2005,1.3245,1.3222,1.3411,1.289,,0.22%
01/07/2005,1.3216,1.3108,1.3579,1.3002,,0.78%
01/06/2005,1.3114,1.3229,1.338,1.2799,,-0.89%
01/05/2005,1.3232,1.2812,1.3281,1.2771,,3.34%
01/04/2005,1.2804,1.2935,1.3118,1.2747,,-1.11%
01/03/2005,1.2948,1.2626,1.3039,1.2511,,2.61%
01/02/2005,1.2619,1.2893,1.3141,1.2563,,-2.19%
01/01/2005,1.2901,1.2804,1.3325,1.2768,,0.95%
01/12/2004,1.2779,1.2935,1.3436,1.2742,,-1.35%
01/11/2004,1.2954,1.3348,1.3449,1.2579,,-3.02%
01/10/2004,1.3357,1.3759,1.3915,1.3307,,-2.86%
01/09/2004,1.375,1.4174,1.459,1.3719,,-3.11%
01/08/2004,1.4191,1.4192,1.4369,1.3763,,-0.29%
01/07/2004,1.4232,1.4304,1.4425,1.3605,,-0.60%
01/06/2004,1.4318,1.3966,1.4733,1.3935,,2.40%
01/05/2004,1.3983,1.3831,1.4711,1.3613,,0.79%
01/04/2004,1.3874,1.304,1.4032,1.2992,,6.31%
01/03/2004,1.3051,1.2933,1.3787,1.2863,,0.98%
01/02/2004,1.2924,1.3096,1.3226,1.2473,,-1.28%
01/01/2004,1.3092,1.3277,1.3333,1.2791,,-1.56%
01/12/2003,1.33,1.3808,1.3827,1.3261,,-3.61%
01/11/2003,1.3798,1.4132,1.4365,1.3765,,-2.27%
01/10/2003,1.4119,1.4695,1.4789,1.4065,,-3.93%
01/09/2003,1.4697,1.5451,1.5768,1.4554,,-4.83%
01/08/2003,1.5443,1.5415,1.5737,1.5094,,0.14%
01/07/2003,1.5421,1.4841,1.5527,1.4599,,3.87%
01/06/2003,1.4847,1.5375,1.5433,1.4819,,-2.88%
01/05/2003,1.5287,1.5959,1.599,1.5088,,-4.17%
01/04/2003,1.5953,1.6529,1.6879,1.5946,,-3.60%
01/03/2003,1.6549,1.645,1.7005,1.6168,,0.72%
01/02/2003,1.643,1.7039,1.7174,1.6415,,-3.48%
01/01/2003,1.7023,1.7771,1.7811,1.6821,,-4.47%
01/12/2002,1.782,1.7828,1.8007,1.7562,,-0.09%
01/11/2002,1.7836,1.8038,1.8046,1.7606,,-1.02%
01/10/2002,1.802,1.843,1.8513,1.7864,,-2.24%
01/09/2002,1.8432,1.8175,1.8538,1.8051,,1.53%
01/08/2002,1.8154,1.843,1.9125,1.8012,,-1.36%
01/07/2002,1.8404,1.7746,1.8711,1.7495,,3.71%
01/06/2002,1.7745,1.7599,1.7997,1.7247,,0.68%
01/05/2002,1.7626,1.8553,1.8717,1.7544,,-5.08%
01/04/2002,1.8569,1.8748,1.9017,1.8315,,-0.92%
01/03/2002,1.8742,1.9309,1.9359,1.8657,,-3.10%
01/02/2002,1.9341,1.967,1.9788,1.9231,,-1.74%
01/01/2002,1.9683,1.9592,1.9796,1.8957,,0.55%
01/12/2001,1.9575,1.9146,1.9847,1.9135,,2.15%
01/11/2001,1.9163,1.9861,1.9898,1.9026,,-3.56%
01/10/2001,1.9871,2.0284,2.041,1.9331,,-2.39%
01/09/2001,2.0357,1.8921,2.0744,1.8904,,7.78%
01/08/2001,1.8887,1.9608,1.9689,1.8532,,-3.72%
01/07/2001,1.9617,1.955,1.9953,1.9128,,0.33%
01/06/2001,1.9552,1.9724,1.9854,1.885,,-1.09%
01/05/2001,1.9768,1.9493,1.9874,1.8783,,1.28%
01/04/2001,1.9518,2.0563,2.0939,1.9231,,-5.27%
01/03/2001,2.0604,1.8879,2.0634,1.8861,,8.15%
01/02/2001,1.9051,1.9091,1.9051,1.9091,,4.77%
01/01/2001,1.8184,1.8215,1.8184,1.8215,,1.32%
01/12/2000,1.7947,1.7989,1.7947,1.7989,,-5.37%
01/11/2000,1.8966,1.9004,1.8966,1.9004,,-1.58%
01/10/2000,1.927,1.9312,1.927,1.9312,,4.45%
01/09/2000,1.8449,1.8464,1.8449,1.8464,,6.46%
01/08/2000,1.733,1.7319,1.733,1.7319,,0.43%
01/07/2000,1.7255,1.7277,1.7255,1.7277,,3.24%
01/06/2000,1.6714,1.6661,1.6714,1.6661,,-4.51%
01/05/2000,1.7504,1.7532,1.7504,1.7532,,2.17%
01/04/2000,1.7132,1.7129,1.7132,1.7129,,4.02%
01/03/2000,1.647,1.6474,1.647,1.6474,,1.55%
01/02/2000,1.6219,1.6273,1.6219,1.6273,,3.35%
