"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","0.7854","0.7922","0.8001","0.7795","","-0.83%"
"01/11/2023","0.7920","0.8227","0.8268","0.7853","","-3.73%"
"01/10/2023","0.8227","0.8196","0.8308","0.8105","","0.38%"
"01/09/2023","0.8196","0.7890","0.8258","0.7866","","3.90%"
"01/08/2023","0.7888","0.7789","0.7970","0.7786","","1.27%"
"01/07/2023","0.7789","0.7882","0.7901","0.7607","","-1.02%"
"01/06/2023","0.7869","0.8038","0.8086","0.7782","","-2.09%"
"01/05/2023","0.8037","0.7958","0.8125","0.7886","","0.98%"
"01/04/2023","0.7959","0.8111","0.8148","0.7946","","-1.81%"
"01/03/2023","0.8106","0.8318","0.8472","0.8049","","-2.54%"
"01/02/2023","0.8317","0.8117","0.8393","0.8064","","2.48%"
"01/01/2023","0.8116","0.8266","0.8446","0.8033","","-1.79%"
"01/12/2022","0.8264","0.8295","0.8339","0.8033","","-0.35%"
"01/11/2022","0.8293","0.8718","0.8971","0.8227","","-4.86%"
"01/10/2022","0.8717","0.8960","0.9154","0.8586","","-2.68%"
"01/09/2022","0.8957","0.8604","0.9630","0.8518","","4.13%"
"01/08/2022","0.8602","0.8220","0.8622","0.8134","","4.67%"
"01/07/2022","0.8218","0.8212","0.8504","0.8166","","0.09%"
"01/06/2022","0.8211","0.7934","0.8380","0.7925","","3.49%"
"01/05/2022","0.7934","0.7944","0.8227","0.7894","","-0.23%"
"01/04/2022","0.7952","0.7612","0.8058","0.7594","","4.47%"
"01/03/2022","0.7612","0.7451","0.7693","0.7441","","2.17%"
"01/02/2022","0.7450","0.7437","0.7535","0.7329","","0.22%"
"01/01/2022","0.7434","0.7390","0.7487","0.7272","","0.61%"
"01/12/2021","0.7389","0.7519","0.7595","0.7380","","-1.72%"
"01/11/2021","0.7518","0.7308","0.7579","0.7300","","2.96%"
"01/10/2021","0.7302","0.7423","0.7444","0.7228","","-1.60%"
"01/09/2021","0.7421","0.7271","0.7456","0.7187","","2.11%"
"01/08/2021","0.7268","0.7194","0.7352","0.7164","","1.06%"
"01/07/2021","0.7192","0.7231","0.7369","0.7151","","-0.53%"
"01/06/2021","0.7230","0.7036","0.7254","0.7018","","2.77%"
"01/05/2021","0.7035","0.7232","0.7247","0.7025","","-2.79%"
"01/04/2021","0.7237","0.7256","0.7316","0.7138","","-0.23%"
"01/03/2021","0.7254","0.7174","0.7315","0.7134","","1.09%"
"01/02/2021","0.7176","0.7292","0.7371","0.7024","","-1.67%"
"01/01/2021","0.7298","0.7314","0.7434","0.7266","","-0.18%"
"01/12/2020","0.7311","0.7505","0.7613","0.7307","","-2.58%"
"01/11/2020","0.7505","0.7724","0.7780","0.7463","","-2.85%"
"01/10/2020","0.7725","0.7741","0.7801","0.7588","","-0.17%"
"01/09/2020","0.7738","0.7481","0.7890","0.7416","","3.49%"
"01/08/2020","0.7477","0.7637","0.7704","0.7465","","-2.15%"
"01/07/2020","0.7641","0.8064","0.8092","0.7592","","-5.23%"
"01/06/2020","0.8063","0.8105","0.8163","0.7804","","-0.43%"
"01/05/2020","0.8098","0.7937","0.8281","0.7935","","2.00%"
"01/04/2020","0.7939","0.8045","0.8221","0.7907","","-1.39%"
"01/03/2020","0.8051","0.7813","0.8765","0.7575","","3.23%"
"01/02/2020","0.7799","0.7566","0.7858","0.7566","","2.97%"
"01/01/2020","0.7574","0.7541","0.7721","0.7533","","0.52%"
"01/12/2019","0.7535","0.7742","0.7755","0.7398","","-2.54%"
"01/11/2019","0.7731","0.7728","0.7832","0.7700","","0.06%"
"01/10/2019","0.7726","0.8137","0.8200","0.7684","","-5.02%"
"01/09/2019","0.8134","0.8231","0.8363","0.7947","","-1.09%"
"01/08/2019","0.8224","0.8227","0.8323","0.8123","","0.01%"
"01/07/2019","0.8223","0.7877","0.8252","0.7869","","4.41%"
"01/06/2019","0.7876","0.7919","0.7997","0.7822","","-0.47%"
"01/05/2019","0.7913","0.7673","0.7963","0.7584","","3.15%"
"01/04/2019","0.7671","0.7670","0.7773","0.7577","","-0.01%"
"01/03/2019","0.7672","0.7540","0.7724","0.7471","","1.76%"
"01/02/2019","0.7539","0.7628","0.7829","0.7491","","-1.15%"
"01/01/2019","0.7627","0.7836","0.8040","0.7566","","-2.67%"
"01/12/2018","0.7836","0.7832","0.8015","0.7788","","-0.01%"
"01/11/2018","0.7837","0.7833","0.7859","0.7589","","0.05%"
"01/10/2018","0.7833","0.7674","0.7877","0.7541","","2.09%"
"01/09/2018","0.7673","0.7710","0.7822","0.7519","","-0.51%"
"01/08/2018","0.7712","0.7617","0.7898","0.7607","","1.25%"
"01/07/2018","0.7617","0.7587","0.7718","0.7483","","0.62%"
"01/06/2018","0.7570","0.7519","0.7663","0.7422","","0.71%"
"01/05/2018","0.7517","0.7267","0.7574","0.7260","","3.54%"
"01/04/2018","0.7260","0.7127","0.7293","0.6955","","1.78%"
"01/03/2018","0.7133","0.7267","0.7293","0.7020","","-1.83%"
"01/02/2018","0.7266","0.7046","0.7269","0.7003","","3.14%"
"01/01/2018","0.7045","0.7400","0.7431","0.6971","","-4.77%"
"01/12/2017","0.7398","0.7394","0.7518","0.7380","","0.08%"
"01/11/2017","0.7392","0.7529","0.7669","0.7380","","-1.81%"
"01/10/2017","0.7528","0.7469","0.7677","0.7461","","0.86%"
"01/09/2017","0.7464","0.7734","0.7750","0.7322","","-3.48%"
"01/08/2017","0.7733","0.7567","0.7829","0.7538","","2.19%"
"01/07/2017","0.7567","0.7683","0.7807","0.7562","","-1.41%"
"01/06/2017","0.7675","0.7758","0.7944","0.7674","","-1.06%"
"01/05/2017","0.7757","0.7721","0.7832","0.7663","","0.49%"
"01/04/2017","0.7719","0.7974","0.8088","0.7711","","-3.08%"
"01/03/2017","0.7964","0.8077","0.8259","0.7926","","-1.40%"
"01/02/2017","0.8077","0.7948","0.8099","0.7869","","1.62%"
"01/01/2017","0.7948","0.8101","0.8346","0.7890","","-1.91%"
"01/12/2016","0.8103","0.7997","0.8198","0.7827","","1.35%"
"01/11/2016","0.7995","0.8167","0.8193","0.7890","","-2.09%"
"01/10/2016","0.8166","0.7725","0.8461","0.7722","","5.98%"
"01/09/2016","0.7705","0.7610","0.7744","0.7437","","1.24%"
"01/08/2016","0.7611","0.7555","0.7773","0.7478","","0.67%"
"01/07/2016","0.7560","0.7513","0.7814","0.7417","","0.65%"
"01/06/2016","0.7511","0.6908","0.7622","0.6658","","8.74%"
"01/05/2016","0.6907","0.6844","0.6977","0.6770","","0.95%"
"01/04/2016","0.6842","0.6963","0.7140","0.6816","","-1.71%"
"01/03/2016","0.6961","0.7185","0.7193","0.6889","","-3.12%"
"01/02/2016","0.7185","0.7023","0.7228","0.6816","","2.38%"
"01/01/2016","0.7018","0.6786","0.7102","0.6750","","3.45%"
"01/12/2015","0.6784","0.6642","0.6792","0.6561","","2.15%"
"01/11/2015","0.6641","0.6473","0.6670","0.6453","","2.47%"
"01/10/2015","0.6481","0.6610","0.6619","0.6447","","-1.94%"
"01/09/2015","0.6609","0.6518","0.6619","0.6386","","1.41%"
"01/08/2015","0.6517","0.6398","0.6521","0.6321","","1.83%"
"01/07/2015","0.6400","0.6365","0.6524","0.6355","","0.57%"
"01/06/2015","0.6364","0.6539","0.6592","0.6277","","-2.68%"
"01/05/2015","0.6539","0.6514","0.6627","0.6323","","0.40%"
"01/04/2015","0.6513","0.6749","0.6866","0.6453","","-3.48%"
"01/03/2015","0.6748","0.6476","0.6833","0.6473","","4.17%"
"01/02/2015","0.6478","0.6629","0.6672","0.6429","","-2.37%"
"01/01/2015","0.6635","0.6420","0.6689","0.6416","","3.35%"
"01/12/2014","0.6420","0.6390","0.6457","0.6334","","0.49%"
"01/11/2014","0.6389","0.6259","0.6414","0.6241","","2.22%"
"01/10/2014","0.6250","0.6168","0.6299","0.6152","","1.35%"
"01/09/2014","0.6167","0.6026","0.6230","0.6008","","2.37%"
"01/08/2014","0.6024","0.5921","0.6051","0.5919","","1.74%"
"01/07/2014","0.5921","0.5846","0.5932","0.5817","","1.30%"
"01/06/2014","0.5845","0.5964","0.5989","0.5842","","-2.08%"
"01/05/2014","0.5969","0.5927","0.5990","0.5883","","0.73%"
"01/04/2014","0.5926","0.6002","0.6041","0.5917","","-1.25%"
"01/03/2014","0.6001","0.5972","0.6076","0.5957","","0.50%"
"01/02/2014","0.5971","0.6080","0.6154","0.5944","","-1.84%"
"01/01/2014","0.6083","0.6040","0.6132","0.6000","","0.73%"
"01/12/2013","0.6039","0.6111","0.6165","0.6032","","-1.15%"
"01/11/2013","0.6109","0.6233","0.6308","0.6103","","-1.97%"
"01/10/2013","0.6232","0.6179","0.6291","0.6150","","0.89%"
"01/09/2013","0.6177","0.6446","0.6449","0.6172","","-4.19%"
"01/08/2013","0.6447","0.6575","0.6622","0.6362","","-1.95%"
"01/07/2013","0.6575","0.6579","0.6751","0.6479","","0.03%"
"01/06/2013","0.6573","0.6580","0.6594","0.6349","","-0.09%"
"01/05/2013","0.6579","0.6438","0.6663","0.6408","","2.21%"
"01/04/2013","0.6437","0.6579","0.6651","0.6424","","-2.10%"
"01/03/2013","0.6575","0.6593","0.6743","0.6553","","-0.26%"
"01/02/2013","0.6592","0.6308","0.6635","0.6297","","4.55%"
"01/01/2013","0.6305","0.6159","0.6380","0.6105","","2.39%"
"01/12/2012","0.6158","0.6245","0.6249","0.6133","","-1.33%"
"01/11/2012","0.6241","0.6199","0.6319","0.6181","","0.68%"
"01/10/2012","0.6199","0.6192","0.6284","0.6166","","0.23%"
"01/09/2012","0.6185","0.6298","0.6319","0.6131","","-1.86%"
"01/08/2012","0.6302","0.6380","0.6456","0.6284","","-1.21%"
"01/07/2012","0.6379","0.6370","0.6497","0.6342","","0.22%"
"01/06/2012","0.6365","0.6490","0.6550","0.6338","","-1.94%"
"01/05/2012","0.6491","0.6159","0.6510","0.6155","","5.37%"
"01/04/2012","0.6160","0.6222","0.6327","0.6134","","-1.35%"
"01/03/2012","0.6244","0.6282","0.6410","0.6235","","-0.59%"
"01/02/2012","0.6281","0.6346","0.6392","0.6253","","-1.02%"
"01/01/2012","0.6346","0.6450","0.6564","0.6331","","-1.38%"
"01/12/2011","0.6435","0.6369","0.6510","0.6339","","1.00%"
"01/11/2011","0.6371","0.6218","0.6484","0.6199","","2.54%"
"01/10/2011","0.6213","0.6420","0.6549","0.6186","","-3.16%"
"01/09/2011","0.6416","0.6156","0.6525","0.6150","","4.29%"
"01/08/2011","0.6152","0.6098","0.6208","0.6018","","1.03%"
"01/07/2011","0.6089","0.6231","0.6337","0.6072","","-2.28%"
"01/06/2011","0.6231","0.6078","0.6284","0.6061","","2.52%"
"01/05/2011","0.6078","0.5984","0.6227","0.5974","","1.54%"
"01/04/2011","0.5986","0.6235","0.6262","0.5972","","-4.02%"
"01/03/2011","0.6237","0.6150","0.6276","0.6097","","1.41%"
"01/02/2011","0.6150","0.6243","0.6265","0.6143","","-1.46%"
"01/01/2011","0.6241","0.6421","0.6490","0.6226","","-2.62%"
"01/12/2010","0.6409","0.6425","0.6517","0.6284","","-0.30%"
"01/11/2010","0.6428","0.6232","0.6458","0.6135","","3.13%"
"01/10/2010","0.6233","0.6365","0.6388","0.6209","","-2.04%"
"01/09/2010","0.6363","0.6512","0.6538","0.6280","","-2.32%"
"01/08/2010","0.6514","0.6358","0.6525","0.6250","","2.18%"
"01/07/2010","0.6375","0.6691","0.6723","0.6360","","-4.71%"
"01/06/2010","0.6690","0.6880","0.6971","0.6610","","-2.73%"
"01/05/2010","0.6878","0.6529","0.7026","0.6526","","5.02%"
"01/04/2010","0.6549","0.6586","0.6612","0.6442","","-0.56%"
"01/03/2010","0.6586","0.6596","0.6765","0.6502","","0.43%"
"01/02/2010","0.6558","0.6270","0.6601","0.6223","","4.94%"
"01/01/2010","0.6249","0.6189","0.6290","0.6076","","0.95%"
"01/12/2009","0.6190","0.6081","0.6317","0.5979","","1.86%"
"01/11/2009","0.6077","0.6092","0.6150","0.5925","","-0.08%"
"01/10/2009","0.6082","0.6248","0.6366","0.5990","","-2.66%"
"01/09/2009","0.6248","0.6143","0.6341","0.5972","","1.74%"
"01/08/2009","0.6141","0.5982","0.6190","0.5867","","2.68%"
"01/07/2009","0.5981","0.6073","0.6257","0.5977","","-1.48%"
"01/06/2009","0.6071","0.6182","0.6329","0.5971","","-1.75%"
"01/05/2009","0.6179","0.6764","0.6777","0.6173","","-8.66%"
"01/04/2009","0.6765","0.6977","0.7006","0.6636","","-3.11%"
"01/03/2009","0.6982","0.6997","0.7323","0.6766","","-0.09%"
"01/02/2009","0.6988","0.6910","0.7116","0.6673","","1.44%"
"01/01/2009","0.6889","0.6842","0.7407","0.6505","","0.67%"
"01/12/2008","0.6843","0.6508","0.6966","0.6360","","5.29%"
"01/11/2008","0.6499","0.6218","0.6870","0.6097","","4.44%"
"01/10/2008","0.6223","0.5606","0.6550","0.5594","","10.95%"
"01/09/2008","0.5609","0.5517","0.5732","0.5355","","2.15%"
"01/08/2008","0.5491","0.5041","0.5503","0.5039","","8.93%"
"01/07/2008","0.5041","0.5016","0.5090","0.4961","","0.46%"
"01/06/2008","0.5018","0.5058","0.5152","0.5007","","-0.52%"
"01/05/2008","0.5044","0.5031","0.5163","0.5022","","0.22%"
"01/04/2008","0.5033","0.5042","0.5102","0.4988","","-0.18%"
"01/03/2008","0.5042","0.5027","0.5071","0.4902","","0.18%"
"01/02/2008","0.5033","0.5031","0.5167","0.5007","","0.06%"
"01/01/2008","0.5030","0.5033","0.5171","0.5010","","-0.18%"
"01/12/2007","0.5039","0.4866","0.5077","0.4835","","3.62%"
"01/11/2007","0.4863","0.4805","0.4914","0.4725","","1.23%"
"01/10/2007","0.4804","0.4884","0.4940","0.4802","","-1.66%"
"01/09/2007","0.4885","0.4957","0.5030","0.4880","","-1.53%"
"01/08/2007","0.4961","0.4926","0.5089","0.4886","","0.65%"
"01/07/2007","0.4929","0.4978","0.4986","0.4841","","-0.92%"
"01/06/2007","0.4975","0.5049","0.5097","0.4975","","-1.49%"
"01/05/2007","0.5050","0.5000","0.5082","0.4981","","0.96%"
"01/04/2007","0.5002","0.5077","0.5104","0.4966","","-1.55%"
"01/03/2007","0.5081","0.5092","0.5212","0.5069","","-0.20%"
"01/02/2007","0.5091","0.5089","0.5154","0.5063","","0.00%"
"01/01/2007","0.5091","0.5104","0.5192","0.5020","","-0.29%"
"01/12/2006","0.5106","0.5085","0.5146","0.5038","","0.35%"
"01/11/2006","0.5088","0.5243","0.5310","0.5076","","-2.94%"
"01/10/2006","0.5242","0.5333","0.5401","0.5235","","-1.87%"
"01/09/2006","0.5342","0.5250","0.5375","0.5240","","1.73%"
"01/08/2006","0.5251","0.5353","0.5369","0.5222","","-1.92%"
"01/07/2006","0.5354","0.5412","0.5502","0.5350","","-1.07%"
"01/06/2006","0.5412","0.5344","0.5528","0.5296","","1.22%"
"01/05/2006","0.5347","0.5482","0.5493","0.5255","","-2.34%"
"01/04/2006","0.5475","0.5756","0.5796","0.5473","","-4.83%"
"01/03/2006","0.5753","0.5702","0.5804","0.5673","","0.89%"
"01/02/2006","0.5702","0.5621","0.5787","0.5611","","1.42%"
"01/01/2006","0.5622","0.5809","0.5817","0.5574","","-3.22%"
"01/12/2005","0.5809","0.5782","0.5840","0.5612","","0.47%"
"01/11/2005","0.5782","0.5649","0.5866","0.5618","","2.35%"
"01/10/2005","0.5649","0.5675","0.5752","0.5583","","-0.35%"
"01/09/2005","0.5669","0.5544","0.5693","0.5405","","2.25%"
"01/08/2005","0.5544","0.5692","0.5714","0.5499","","-2.60%"
"01/07/2005","0.5692","0.5583","0.5792","0.5580","","1.95%"
"01/06/2005","0.5583","0.5502","0.5595","0.5432","","1.47%"
"01/05/2005","0.5502","0.5244","0.5524","0.5241","","5.00%"
"01/04/2005","0.5240","0.5290","0.5357","0.5202","","-0.96%"
"01/03/2005","0.5291","0.5204","0.5379","0.5172","","1.71%"
"01/02/2005","0.5202","0.5310","0.5403","0.5190","","-2.03%"
"01/01/2005","0.5310","0.5208","0.5398","0.5207","","1.88%"
"01/12/2004","0.5212","0.5236","0.5259","0.5113","","-0.40%"
"01/11/2004","0.5233","0.5437","0.5465","0.5225","","-3.81%"
"01/10/2004","0.5440","0.5518","0.5636","0.5419","","-1.43%"
"01/09/2004","0.5519","0.5548","0.5647","0.5505","","-0.52%"
"01/08/2004","0.5548","0.5487","0.5601","0.5409","","0.98%"
"01/07/2004","0.5494","0.5495","0.5529","0.5328","","-0.04%"
"01/06/2004","0.5496","0.5456","0.5552","0.5407","","0.70%"
"01/05/2004","0.5458","0.5620","0.5721","0.5441","","-2.88%"
"01/04/2004","0.5620","0.5418","0.5690","0.5373","","3.75%"
"01/03/2004","0.5417","0.5351","0.5585","0.5332","","1.20%"
"01/02/2004","0.5353","0.5484","0.5514","0.5223","","-2.35%"
"01/01/2004","0.5482","0.5605","0.5622","0.5382","","-2.11%"
"01/12/2003","0.5600","0.5811","0.5826","0.5572","","-3.53%"
"01/11/2003","0.5805","0.5897","0.6036","0.5798","","-1.59%"
"01/10/2003","0.5899","0.6017","0.6049","0.5851","","-1.98%"
"01/09/2003","0.6018","0.6333","0.6406","0.5964","","-5.06%"
"01/08/2003","0.6339","0.6208","0.6402","0.6176","","2.06%"
"01/07/2003","0.6211","0.6038","0.6337","0.5970","","2.80%"
"01/06/2003","0.6042","0.6150","0.6159","0.5914","","-1.13%"
"01/05/2003","0.6111","0.6252","0.6288","0.6042","","-2.32%"
"01/04/2003","0.6256","0.6318","0.6468","0.6234","","-0.95%"
"01/03/2003","0.6316","0.6357","0.6437","0.6187","","-0.61%"
"01/02/2003","0.6355","0.6066","0.6369","0.6046","","4.71%"
"01/01/2003","0.6069","0.6206","0.6288","0.6034","","-2.14%"
"01/12/2002","0.6202","0.6423","0.6472","0.6197","","-3.43%"
"01/11/2002","0.6422","0.6389","0.6488","0.6260","","0.49%"
"01/10/2002","0.6391","0.6377","0.6490","0.6342","","0.25%"
"01/09/2002","0.6375","0.6452","0.6544","0.6350","","-1.19%"
"01/08/2002","0.6452","0.6395","0.6597","0.6357","","0.89%"
"01/07/2002","0.6395","0.6525","0.6601","0.6302","","-1.93%"
"01/06/2002","0.6521","0.6861","0.6882","0.6498","","-5.18%"
"01/05/2002","0.6877","0.6857","0.6914","0.6798","","0.23%"
"01/04/2002","0.6861","0.7012","0.7018","0.6828","","-2.18%"
"01/03/2002","0.7014","0.7058","0.7099","0.6978","","-0.69%"
"01/02/2002","0.7063","0.7084","0.7113","0.6960","","-0.37%"
"01/01/2002","0.7089","0.6878","0.7121","0.6866","","3.11%"
"01/12/2001","0.6875","0.7021","0.7073","0.6843","","-2.09%"
"01/11/2001","0.7022","0.6874","0.7123","0.6806","","2.14%"
"01/10/2001","0.6875","0.6791","0.7045","0.6734","","1.37%"
"01/09/2001","0.6782","0.6880","0.6943","0.6752","","-1.40%"
"01/08/2001","0.6878","0.7015","0.7082","0.6836","","-1.99%"
"01/07/2001","0.7018","0.7062","0.7179","0.6964","","-0.64%"
"01/06/2001","0.7063","0.7048","0.7309","0.7027","","0.18%"
"01/05/2001","0.7050","0.6975","0.7105","0.6918","","0.97%"
"01/04/2001","0.6982","0.7067","0.7073","0.6893","","-1.15%"
"01/03/2001","0.7063","0.6920","0.7066","0.6770","","2.05%"
"01/02/2001","0.6921","0.6831","0.6987","0.6738","","1.30%"
"01/01/2001","0.6832","0.6682","0.6915","0.6619","","2.20%"
"01/12/2000","0.6685","0.7007","0.7026","0.6671","","-4.64%"
"01/11/2000","0.7010","0.6905","0.7166","0.6860","","1.52%"
"01/10/2000","0.6905","0.6771","0.7048","0.6750","","1.93%"
"01/09/2000","0.6774","0.6907","0.7169","0.6754","","-1.93%"
"01/08/2000","0.6907","0.6663","0.6935","0.6603","","3.48%"
"01/07/2000","0.6675","0.6678","0.6675","0.6678","","1.15%"
"01/06/2000","0.6599","0.6605","0.6599","0.6605","","-1.15%"
"01/05/2000","0.6676","0.6689","0.6676","0.6689","","3.99%"
"01/04/2000","0.6420","0.6395","0.6420","0.6395","","2.29%"
"01/03/2000","0.6276","0.6269","0.6276","0.6269","","-0.92%"
"01/02/2000","0.6334","0.6333","0.6334","0.6333","","2.49%"
